           1   1.00000000    
           2   2.00000000    
           3   6.00000000    
           4   24.0000000    
           5   120.000000    
           6   720.000000    
           7   5040.00000    
           8   40320.0000    
           9   362880.000    
          10   3628800.00    
          11   39916800.0    
          12   479001600.    
          13   6.22702080E+09
          14   8.71782892E+10
          15   1.30767428E+12
          16   2.09227885E+13
          17   3.55687415E+14
          18   6.40237353E+15
          19   1.21645096E+17
          20   2.43290202E+18
          21   5.10909408E+19
          22   1.12400072E+21
          23   2.58520174E+22
          24   6.20448455E+23
          25   1.55112111E+25
          26   4.03291500E+26
          27   1.08888704E+28
          28   3.04888372E+29
          29   8.84176308E+30
          30   2.65252890E+32
          31   8.22283969E+33
          32   2.63130870E+35
          33   8.68331851E+36
          34   2.95232823E+38
          35         Infinity
          36         Infinity
          37         Infinity
          38         Infinity
          39         Infinity
          40         Infinity
          41         Infinity
          42         Infinity
          43         Infinity
          44         Infinity
          45         Infinity
          46         Infinity
          47         Infinity
          48         Infinity
          49         Infinity
          50         Infinity
