           1   1.0000000000000000     
           2   2.0000000000000000     
           3   6.0000000000000000     
           4   24.000000000000000     
           5   120.00000000000000     
           6   720.00000000000000     
           7   5040.0000000000000     
           8   40320.000000000000     
           9   362880.00000000000     
          10   3628800.0000000000     
          11   39916800.000000000     
          12   479001600.00000000     
          13   6227020800.0000000     
          14   87178291200.000000     
          15   1307674368000.0000     
          16   20922789888000.000     
          17   355687428096000.00     
          18   6402373705728000.0     
          19   1.2164510040883200E+017
          20   2.4329020081766400E+018
          21   5.1090942171709440E+019
          22   1.1240007277776077E+021
          23   2.5852016738884978E+022
          24   6.2044840173323941E+023
          25   1.5511210043330986E+025
          26   4.0329146112660565E+026
          27   1.0888869450418352E+028
          28   3.0488834461171384E+029
          29   8.8417619937397008E+030
          30   2.6525285981219103E+032
          31   8.2228386541779224E+033
          32   2.6313083693369352E+035
          33   8.6833176188118859E+036
          34   2.9523279903960412E+038
          35   1.0333147966386144E+040
          36   3.7199332678990118E+041
          37   1.3763753091226343E+043
          38   5.2302261746660104E+044
          39   2.0397882081197442E+046
          40   8.1591528324789768E+047
          41   3.3452526613163803E+049
          42   1.4050061177528798E+051
          43   6.0415263063373834E+052
          44   2.6582715747884485E+054
          45   1.1962222086548019E+056
          46   5.5026221598120885E+057
          47   2.5862324151116818E+059
          48   1.2413915592536073E+061
          49   6.0828186403426752E+062
          50   3.0414093201713376E+064
